DIA,TMP,RH,PM10
17.0,12.448,23.0,22.913
18.0,11.126,40.435,46.043
19.0,9.23,64.652,53.261
20.0,10.713,48.87,46.0
21.0,12.85,33.85,40.4
22.0,10.848,45.652,46.565
23.0,10.97,28.087,37.043
24.0,11.774,44.739,38.435
25.0,12.887,39.826,41.652
26.0,11.987,43.478,31.304
27.0,11.463,30.105,29.263
28.0,6.048,53.696,64.174
29.0,8.665,49.35,106.75
30.0,12.987,30.609,23.348
31.0,14.196,43.913,22.478
1.0,14.665,33.043,30.217
2.0,15.665,27.435,24.957
3.0,15.939,35.217,33.348
4.0,12.83,49.174,73.652
5.0,12.383,51.435,68.609
6.0,11.783,42.87,48.174
7.0,11.373,16.364,26.545
8.0,10.63,26.739,60.522
9.0,7.126,58.043,49.13
10.0,7.787,65.348,53.174
11.0,10.03,51.043,55.087
12.0,10.727,36.727,41.5
13.0,9.861,34.957,39.174
14.0,12.745,31.591,55.273
15.0,13.861,33.217,50.435
16.0,13.683,31.435,59.609
17.0,13.461,20.696,43.0
18.0,12.935,23.522,55.304
19.0,14.509,31.522,63.609
20.0,14.052,38.391,55.783
21.0,15.917,40.87,44.391
22.0,15.604,48.304,45.174
23.0,15.477,42.5,38.909
24.0,14.957,44.696,66.0
25.0,14.461,52.913,71.739
26.0,14.504,50.348,61.826
27.0,11.126,69.217,47.174
28.0,13.736,53.955,18.682
29.0,12.478,62.174,36.391
1.0,12.878,62.957,42.826
2.0,9.518,82.318,27.682
3.0,11.857,64.348,29.913
10.0,7.268,50.591,10.409
11.0,8.709,38.565,13.652
12.0,12.473,36.955,25.0
13.0,15.783,28.565,32.652
14.0,16.517,38.087,46.304
15.0,17.413,35.696,34.304
16.0,16.909,41.304,42.522
17.0,16.2,44.696,42.522
18.0,15.678,44.13,29.739
19.0,14.822,34.261,19.0
20.0,11.196,63.696,40.565
21.0,10.57,66.522,36.609
22.0,13.596,58.609,40.087
23.0,14.317,54.087,28.087
24.0,16.187,41.913,14.435
25.0,16.13,42.609,15.913
26.0,15.891,35.318,15.045
27.0,18.771,21.095,18.333
28.0,17.596,33.826,30.826
29.0,17.665,31.261,21.478
30.0,18.157,29.696,25.043
31.0,18.161,29.696,32.217
1.0,17.643,30.783,25.435
2.0,18.157,27.043,26.957
3.0,16.148,46.783,39.565
4.0,17.791,36.217,51.043
5.0,17.914,32.273,54.182
6.0,18.759,34.091,55.773
7.0,17.891,33.304,56.217
8.0,17.435,42.609,60.565
9.0,17.543,46.261,54.565
