DIA,TMP,RH,PM10
29,11.0,49.0,24.0
29,10.9,49.0,31.0
29,10.6,51.0,24.0
29,10.8,49.0,22.0
29,10.6,50.0,27.0
29,10.4,50.0,17.0
29,10.1,50.0,12.0
29,11.9,46.0,18.0
29,14.9,37.0,15.0
29,17.3,30.0,28.0
29,19.4,29.0,33.0
29,20.7,23.0,38.0
29,22.4,18.0,42.0
29,22.0,18.0,26.0
29,22.1,18.0,38.0
29,21.7,18.0,30.0
29,21.3,18.0,36.0
29,19.9,20.0,35.0
29,17.5,33.0,45.0
29,16.3,33.0,50.0
29,15.6,31.0,34.0
29,15.4,32.0,24.0
29,14.1,36.0,29.0
29,13.4,38.0,37.0
30,12.9,39.0,25.0
30,12.6,40.0,24.0
30,12.3,40.0,28.0
30,12.2,39.0,21.0
30,12.0,40.0,15.0
30,11.5,41.0,17.0
30,11.5,42.0,18.0
30,13.1,39.0,21.0
30,15.7,34.0,18.0
30,17.8,30.0,27.0
30,19.5,25.0,24.0
30,21.3,22.0,41.0
30,22.3,19.0,47.0
30,23.8,16.0,31.0
30,22.2,17.0,48.0
30,21.8,16.0,43.0
30,21.7,14.0,35.0
30,21.6,14.0,32.0
30,19.3,24.0,53.0
30,18.1,22.0,40.0
30,17.1,30.0,54.0
30,16.1,39.0,39.0
30,14.5,45.0,58.0
30,13.4,48.0,41.0
31,12.6,50.0,54.0
31,11.8,51.0,44.0
31,11.4,50.0,29.0
31,11.2,48.0,28.0
31,10.9,48.0,30.0
31,10.4,50.0,31.0
31,10.1,53.0,21.0
31,12.4,47.0,43.0
31,16.2,35.0,29.0
31,18.6,32.0,39.0
31,20.8,28.0,47.0
31,22.8,21.0,51.0
31,24.0,17.0,45.0
31,22.8,16.0,38.0
31,17.9,29.0,36.0
31,16.1,34.0,60.0
31,15.9,36.0,31.0
31,15.3,36.0,33.0
31,14.9,37.0,28.0
31,14.2,38.0,25.0
31,14.4,37.0,25.0
31,13.8,40.0,26.0
1,13.6,39.0,27.0
1,13.7,35.0,20.0
1,12.9,36.0,24.0
1,12.9,36.0,31.0
1,12.6,37.0,18.0
1,12.5,36.0,20.0
1,12.2,38.0,8.0
1,14.1,33.0,25.0
1,16.9,27.0,21.0
1,19.5,19.0,24.0
1,21.2,21.0,45.0
1,22.7,16.0,51.0
1,23.8,13.0,58.0
1,24.0,12.0,69.0
1,23.8,12.0,58.0
1,22.5,17.0,59.0
1,21.1,23.0,45.0
1,19.7,25.0,39.0
1,16.0,38.0,61.0
1,15.1,44.0,27.0
1,15.4,41.0,14.0
1,14.6,44.0,15.0
1,13.7,48.0,35.0
1,13.5,49.0,36.0
2,13.3,43.0,37.0
2,13.0,39.0,22.0
2,12.4,41.0,18.0
2,12.4,40.0,20.0
2,12.5,38.0,22.0
2,12.4,37.0,25.0
2,12.2,37.0,25.0
2,13.1,35.0,26.0
2,16.0,31.0,46.0
2,18.9,23.0,44.0
2,20.5,18.0,32.0
2,22.4,18.0,45.0
2,23.1,17.0,46.0
2,22.5,21.0,58.0
2,21.4,24.0,72.0
2,22.0,23.0,74.0
2,20.7,23.0,72.0
2,19.4,24.0,67.0
2,18.0,25.0,64.0
2,16.6,28.0,60.0
2,15.6,30.0,40.0
2,14.5,33.0,29.0
2,13.5,33.0,30.0
2,13.2,33.0,25.0
3,13.4,25.0,16.0
3,13.0,27.0,21.0
3,12.1,30.0,26.0
3,11.6,29.0,19.0
3,12.1,30.0,18.0
3,11.8,31.0,20.0
3,11.7,30.0,24.0
3,13.9,27.0,24.0
3,16.7,23.0,33.0
3,18.3,19.0,30.0
3,20.2,16.0,24.0
3,21.5,14.0,28.0
3,22.5,13.0,54.0
3,23.9,11.0,51.0
3,23.3,12.0,73.0
3,22.1,13.0,83.0
3,22.8,10.0,69.0
3,21.0,10.0,61.0
3,18.5,12.0,44.0
3,16.5,17.0,32.0
3,14.9,23.0,43.0
3,13.9,27.0,34.0
3,13.3,31.0,22.0
3,13.2,26.0,23.0
4,13.3,23.0,13.0
4,12.5,25.0,11.0
4,12.1,24.0,12.0
4,11.8,24.0,10.0
4,10.6,27.0,17.0
4,10.4,25.0,13.0
4,9.5,29.0,29.0
4,11.4,39.0,37.0
4,13.9,39.0,48.0
4,17.3,32.0,63.0
4,19.7,25.0,58.0
4,21.3,21.0,69.0
4,23.3,14.0,64.0
4,24.7,7.0,24.0
4,25.6,7.0,44.0
4,26.1,8.0,54.0
4,21.8,13.0,70.0
4,21.5,17.0,53.0
4,19.2,22.0,64.0
4,17.5,25.0,52.0
4,16.3,25.0,38.0
4,15.3,38.0,56.0
4,14.0,45.0,67.0
4,13.8,47.0,59.0
5,13.2,46.0,54.0
5,11.5,62.0,47.0
5,10.3,69.0,37.0
5,9.5,71.0,30.0
5,8.5,73.0,29.0
5,7.9,81.0,37.0
5,7.8,85.0,53.0
5,8.6,80.0,58.0
5,10.4,72.0,58.0
5,11.8,65.0,67.0
5,13.8,56.0,73.0
5,17.2,43.0,77.0
5,19.6,32.0,80.0
5,21.2,25.0,56.0
5,22.1,24.0,58.0
5,19.6,28.0,75.0
5,12.7,56.0,88.0
5,11.7,67.0,46.0
5,12.1,58.0,21.0
5,13.1,50.0,31.0
5,13.4,46.0,19.0
5,13.1,50.0,33.0
5,12.5,57.0,51.0
5,11.6,58.0,56.0
6,11.1,56.0,52.0
6,11.5,50.0,41.0
6,10.7,54.0,36.0
6,9.8,58.0,29.0
6,9.9,58.0,36.0
6,9.9,59.0,22.0
6,9.9,59.0,27.0
6,12.6,49.0,32.0
6,15.6,42.0,47.0
