DIA,TMP,RH,PM10
10,19.0,28.0,45.0
10,18.8,30.0,45.0
10,17.5,34.0,36.0
10,16.0,38.0,42.0
11,13.6,43.0,36.0
11,12.8,44.0,56.0
11,12.3,44.0,13.0
11,11.9,44.0,45.0
11,10.9,49.0,36.0
11,10.6,50.0,75.0
11,10.0,51.0,66.0
11,10.3,51.0,73.0
11,12.8,42.0,70.0
11,15.9,36.0,77.0
11,18.0,30.0,81.0
11,20.5,25.0,89.0
11,22.2,18.0,69.0
11,23.7,14.0,72.0
11,24.8,13.0,66.0
11,25.1,13.0,55.0
11,25.4,10.0,67.0
11,22.7,14.0,49.0
11,21.0,18.0,55.0
14,14.4,17.0,75.0
14,13.6,18.0,40.0
14,13.6,17.0,40.0
14,12.1,21.0,47.0
14,11.2,24.0,66.0
14,11.5,25.0,47.0
14,11.0,27.0,69.0
14,11.3,27.0,77.0
14,13.4,26.0,116.0
14,15.0,22.0,136.0
14,17.0,20.0,83.0
14,19.3,18.0,70.0
14,21.1,16.0,67.0
14,23.1,15.0,62.0
14,24.2,12.0,51.0
14,24.4,12.0,49.0
14,23.9,14.0,33.0
14,23.3,15.0,31.0
14,21.5,17.0,33.0
14,19.8,25.0,43.0
14,18.3,26.0,64.0
14,17.3,29.0,76.0
14,16.0,31.0,59.0
15,14.7,40.0,43.0
15,13.6,41.0,44.0
15,12.5,42.0,36.0
15,11.7,44.0,30.0
15,11.1,47.0,40.0
15,12.6,45.0,137.0
15,15.2,37.0,129.0
15,16.7,33.0,113.0
15,18.0,26.0,87.0
15,20.0,22.0,83.0
15,21.3,21.0,92.0
15,22.4,20.0,92.0
15,22.9,19.0,89.0
15,23.6,16.0,72.0
15,23.6,15.0,76.0
15,22.1,22.0,96.0
15,20.2,32.0,88.0
15,19.0,33.0,78.0
15,17.3,40.0,107.0
15,15.9,47.0,94.0
16,10.8,69.0,61.0
16,11.1,68.0,58.0
16,12.1,63.0,58.0
16,13.5,55.0,57.0
16,15.0,47.0,69.0
16,16.0,43.0,53.0
16,17.0,38.0,57.0
16,17.8,38.0,131.0
16,17.0,40.0,132.0
16,15.5,44.0,162.0
16,13.3,50.0,168.0
16,11.0,57.0,143.0
16,9.0,63.0,77.0
16,8.0,65.0,34.0
16,8.1,67.0,26.0
17,7.0,72.0,27.0
17,7.0,72.0,30.0
17,6.8,73.0,37.0
17,6.6,74.0,41.0
17,6.4,75.0,39.0
17,6.2,75.0,44.0
17,5.9,75.0,53.0
17,6.0,75.0,59.0
17,8.0,67.0,73.0
17,10.4,58.0,91.0
17,12.8,51.0,114.0
17,15.9,42.0,117.0
17,18.3,36.0,85.0
17,20.0,29.0,65.0
17,21.4,26.0,53.0
17,21.6,26.0,59.0
17,21.8,26.0,62.0
17,21.7,26.0,54.0
17,21.0,27.0,60.0
17,20.2,30.0,73.0
17,18.0,37.0,109.0
17,17.2,40.0,98.0
17,16.3,42.0,91.0
18,14.4,49.0,72.0
18,13.2,50.0,37.0
18,12.2,53.0,38.0
18,11.4,55.0,39.0
